age,workclass,education,education_num,marital_status,occupation,race,sex,capital_gain,capital_loss,hours_per_week,native_country,target_variable,Hours_Norm,CountryGroup,PeopleGroup
39,State-gov,Bachelors,13,Never-married,Adm-clerical,White,Male,2174,0,40,United-States,<=50K,0.5064935064935064,N_America,Full_timers
50,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,0,0,13,United-States,<=50K,0.15584415584415584,N_America,Relaxies
38,Private,HS-grad,9,Divorced,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K,0.5064935064935064,N_America,Full_timers
53,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Black,Male,0,0,40,United-States,<=50K,0.5064935064935064,N_America,Full_timers
28,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Black,Female,0,0,40,Cuba,<=50K,0.5064935064935064,Other,Full_timers
37,Private,Masters,14,Married-civ-spouse,Exec-managerial,White,Female,0,0,40,United-States,<=50K,0.5064935064935064,N_America,Full_timers
49,Private,9th,5,Married-spouse-absent,Other-service,Black,Female,0,0,16,Jamaica,<=50K,0.19480519480519481,Other,Part_timers
52,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,White,Male,0,0,45,United-States,>50K,0.5714285714285714,N_America,Full_timers
31,Private,Masters,14,Never-married,Prof-specialty,White,Female,14084,0,50,United-States,>50K,0.6363636363636364,N_America,Full_timers
42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,White,Male,5178,0,40,United-States,>50K,0.5064935064935064,N_America,Full_timers
30,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,Male,0,0,40,India,>50K,0.5064935064935064,Asia,Full_timers
23,Private,Bachelors,13,Never-married,Adm-clerical,White,Female,0,0,30,United-States,<=50K,0.37662337662337664,N_America,Full_timers
32,Private,Assoc-acdm,12,Never-married,Sales,Black,Male,0,0,50,United-States,<=50K,0.6363636363636364,N_America,Full_timers
40,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Asian-Pac-Islander,Male,0,0,40,,>50K,0.5064935064935064,,Full_timers
34,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Amer-Indian-Eskimo,Male,0,0,45,Mexico,<=50K,0.5714285714285714,Other,Full_timers
25,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,White,Male,0,0,35,United-States,<=50K,0.44155844155844154,N_America,Full_timers
32,Private,HS-grad,9,Never-married,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K,0.5064935064935064,N_America,Full_timers
38,Private,11th,7,Married-civ-spouse,Sales,White,Male,0,0,50,United-States,<=50K,0.6363636363636364,N_America,Full_timers
43,Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,White,Female,0,0,45,United-States,>50K,0.5714285714285714,N_America,Full_timers
40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,White,Male,0,0,60,United-States,>50K,0.7662337662337663,N_America,Hardworkers
54,Private,HS-grad,9,Separated,Other-service,Black,Female,0,0,20,United-States,<=50K,0.24675324675324675,N_America,Part_timers
35,Federal-gov,9th,5,Married-civ-spouse,Farming-fishing,Black,Male,0,0,40,United-States,<=50K,0.5064935064935064,N_America,Full_timers
43,Private,11th,7,Married-civ-spouse,Transport-moving,White,Male,0,2042,40,United-States,<=50K,0.5064935064935064,N_America,Full_timers
59,Private,HS-grad,9,Divorced,Tech-support,White,Female,0,0,40,United-States,<=50K,0.5064935064935064,N_America,Full_timers
56,Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,White,Male,0,0,40,United-States,>50K,0.5064935064935064,N_America,Full_timers
19,Private,HS-grad,9,Never-married,Craft-repair,White,Male,0,0,40,United-States,<=50K,0.5064935064935064,N_America,Full_timers
49,Private,HS-grad,9,Married-civ-spouse,Craft-repair,White,Male,0,0,40,United-States,<=50K,0.5064935064935064,N_America,Full_timers
23,Local-gov,Assoc-acdm,12,Never-married,Protective-serv,White,Male,0,0,52,United-States,<=50K,0.6623376623376623,N_America,Full_timers
20,Private,Some-college,10,Never-married,Sales,Black,Male,0,0,44,United-States,<=50K,0.5584415584415584,N_America,Full_timers
45,Private,Bachelors,13,Divorced,Exec-managerial,White,Male,0,1408,40,United-States,<=50K,0.5064935064935064,N_America,Full_timers
30,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,White,Male,0,0,40,United-States,<=50K,0.5064935064935064,N_America,Full_timers
22,State-gov,Some-college,10,Married-civ-spouse,Other-service,Black,Male,0,0,15,United-States,<=50K,0.18181818181818182,N_America,Part_timers
48,Private,11th,7,Never-married,Machine-op-inspct,White,Male,0,0,40,Puerto-Rico,<=50K,0.5064935064935064,Other,Full_timers
21,Private,Some-college,10,Never-married,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K,0.5064935064935064,N_America,Full_timers
